city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
ushtobe,KZ,45.2514,77.9838,44.76,44.76,5.17,100,35
pacific grove,US,36.6177,-121.9166,68.74,76.15,10.0,1,52
alice springs,AU,-23.7,133.8833,67.55,67.55,5.75,75,49
keetmanshoop,NA,-26.5833,18.1333,65.25,65.25,11.18,52,24
paita,PE,-5.0892,-81.1144,70.36,70.36,18.21,70,78
pahrump,US,36.2083,-115.9839,72.61,75.06,7.0,46,24
prince albert,CA,53.2001,-105.7677,62.55,62.55,9.22,75,22
puerto escondido,MX,15.85,-97.0667,88.63,88.63,23.02,75,55
sao filipe,CV,14.8961,-24.4956,80.56,80.56,9.66,3,74
buin,CL,-33.7333,-70.75,68.47,70.12,8.16,24,56
dhidhdhoo,MV,6.8833,73.1,82.33,82.33,16.73,51,80
muhororo,UG,0.9381,30.7594,61.99,61.99,2.86,100,98
minna,NG,9.6139,6.5569,77.49,77.49,3.6,83,80
havoysund,NO,70.9963,24.6622,43.68,43.68,4.72,100,93
ixtapa,MX,20.7,-105.2,88.83,89.22,8.05,75,70
santiago,CL,-33.4569,-70.6483,67.37,69.24,11.5,20,44
grand gaube,MU,-20.0064,57.6608,72.37,72.37,10.0,1,73
meadow lake,US,34.8014,-106.5436,77.27,84.49,16.75,15,25
lompoc,US,34.6391,-120.4579,70.77,81.01,20.71,1,50
horqueta,PY,-23.3428,-57.0597,69.24,69.24,7.87,95,96
isiro,CD,2.7739,27.616,67.62,67.62,1.99,96,98
mackay,AU,-21.15,149.2,72.03,76.68,4.61,75,83
charyshskoye,RU,51.3978,83.5598,32.7,32.7,5.48,3,81
namibe,AO,-15.1961,12.1522,65.44,65.44,3.76,4,77
kurilsk,RU,45.2333,147.8833,54.37,54.37,6.62,98,74
naze,JP,28.3667,129.4833,76.87,76.87,20.58,63,77
iquique,CL,-20.2208,-70.1431,62.64,62.64,7.74,29,78
touros,BR,-5.1989,-35.4608,81.5,81.5,16.53,62,79
kahului,US,20.8947,-156.47,76.1,79.86,20.71,75,87
kitimat,CA,54.0524,-128.6534,49.91,49.91,1.99,100,58
tigil,RU,57.8,158.6667,33.08,33.08,8.28,97,93
luxor,EG,25.6989,32.6421,81.88,81.88,5.86,0,26
petropavlovsk-kamchatskiy,RU,53.0452,158.6483,30.79,30.79,6.71,20,80
okha,RU,53.5739,142.9478,43.86,43.86,10.25,100,87
hospet,IN,15.2667,76.4,73.38,73.38,10.38,100,92
kamaishi,JP,39.2667,141.8833,64.35,64.35,12.03,89,86
berbera,SO,10.4396,45.0143,87.24,87.24,3.27,71,68
hervey bay,AU,-25.2986,152.8535,75.02,77.04,10.47,8,69
praia,CV,14.9215,-23.5087,79.34,79.34,12.66,20,83
bordighera,IT,43.7806,7.6645,61.84,66.15,1.01,25,52
havre-saint-pierre,CA,50.2334,-63.5986,48.52,48.79,5.75,1,76
bengkulu,ID,-3.8004,102.2655,76.41,76.41,4.52,31,92
kasganj,IN,27.8167,78.65,77.36,77.36,2.62,0,50
gubkinskiy,RU,64.434,76.5026,26.8,26.8,18.63,98,89
lakhisarai,IN,25.1768,86.0932,74.75,74.75,4.09,6,74
lipari,IT,38.4674,14.954,64.35,68.56,9.91,60,67
cayenne,GF,4.9333,-52.3333,84.09,84.24,1.01,0,79
saint petersburg,RU,59.8944,30.2642,51.89,54.1,4.47,90,82
jalu,LY,29.0331,21.5482,77.18,77.18,9.93,0,28
omboue,GA,-1.5746,9.2618,76.77,76.77,9.62,100,90
saint andrews,US,34.0454,-81.1293,76.8,78.89,1.99,75,67
